Jan 22, '22 16:23:49 | ETL_LIS | INFO: Loading STG_PRODUCT Table
Jan 22, '22 16:23:49 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 22, '22 16:23:49 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-43-generic-x86_64-with-glibc2.29
Jan 22, '22 16:23:49 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 22, '22 16:23:49 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 22, '22 16:23:51 | ETL_LIS | INFO: Database Connection Successful
Jan 22, '22 16:23:51 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 22, '22 16:23:51 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_STG_BBSM]
Jan 22, '22 16:23:51 | ETL_LIS | INFO: query execution done
Jan 22, '22 16:23:51 | ETL_LIS | INFO: Cursor Execution - Used DWH_STG_BBSM Schema of NAMIT_BHATBHATENI Database
Jan 22, '22 16:23:51 | ETL_LIS | INFO: Fetched product data from 'd_product_data.csv'
Jan 22, '22 16:23:51 | ETL_LIS | INFO: Converted product data into pandas Dataframe
Jan 22, '22 16:23:51 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 22, '22 16:23:51 | ETL_LIS | INFO: query execution done
Jan 22, '22 16:23:51 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 22, '22 16:23:52 | ETL_LIS | INFO: query execution done
Jan 22, '22 16:23:53 | ETL_LIS | INFO: query: [COPY INTO "STG_PRODUCT" /* Python:snowflake.connector.pandas_tools.write_pandas(...]
Jan 22, '22 16:23:54 | ETL_LIS | INFO: query execution done
Jan 22, '22 16:23:54 | ETL_LIS | INFO: Cursor Execution - Loaded all Product Data to Staging Table 'STG_PRODUCT'
Jan 22, '22 16:23:54 | ETL_LIS | INFO: closed
Jan 22, '22 16:23:54 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 22, '22 16:23:54 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 22, '22 16:23:54 | ETL_LIS | INFO: Closed Database Connection
