Jan 25, '22 00:12:00 | ETL_LIS | INFO: Aggregation of Sales Data By Month
Jan 25, '22 00:12:00 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 25, '22 00:12:00 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 25, '22 00:12:00 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 25, '22 00:12:00 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 25, '22 00:12:02 | ETL_LIS | INFO: Database Connection Successful
Jan 25, '22 00:12:02 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 25, '22 00:12:02 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 25, '22 00:12:02 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:12:02 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database for aggregation
Jan 25, '22 00:12:02 | ETL_LIS | INFO: query: [SELECT MONTH(TRANSACTION_TIME) AS AGG_MONTH, SUM(QUANTITY), SUM(AMOUNT), SUM(DIS...]
Jan 25, '22 00:12:03 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:12:03 | ETL_LIS | INFO: Cursor Execution - Fetched Sales Month Aggregation Data
Jan 25, '22 00:12:03 | ETL_LIS | INFO: Converted fetched Sales Month Aggregation data to Pandas Dataframe
Jan 25, '22 00:12:03 | ETL_LIS | INFO: Converted Dataframe to csv, and saved to 'f_sales_agg_month_data.csv' file
Jan 25, '22 00:12:03 | ETL_LIS | INFO: closed
Jan 25, '22 00:12:03 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 25, '22 00:12:03 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 25, '22 00:12:03 | ETL_LIS | INFO: Closed Database Connection
Jan 25, '22 00:12:45 | ETL_LIS | INFO: Aggregation of Sales Data By Month
Jan 25, '22 00:12:45 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 25, '22 00:12:45 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 25, '22 00:12:45 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 25, '22 00:12:45 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 25, '22 00:12:46 | ETL_LIS | INFO: Database Connection Successful
Jan 25, '22 00:12:46 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 25, '22 00:12:46 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 25, '22 00:12:46 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:12:46 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database for aggregation
Jan 25, '22 00:12:46 | ETL_LIS | INFO: query: [SELECT MONTH(TRANSACTION_TIME) AS AGG_MONTH, SUM(QUANTITY) AS TOTAL_QUANTITY, SU...]
Jan 25, '22 00:12:47 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:12:47 | ETL_LIS | INFO: Cursor Execution - Fetched Sales Month Aggregation Data
Jan 25, '22 00:12:47 | ETL_LIS | INFO: Converted fetched Sales Month Aggregation data to Pandas Dataframe
Jan 25, '22 00:12:47 | ETL_LIS | INFO: Converted Dataframe to csv, and saved to 'f_sales_agg_month_data.csv' file
Jan 25, '22 00:12:47 | ETL_LIS | INFO: closed
Jan 25, '22 00:12:47 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 25, '22 00:12:47 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 25, '22 00:12:47 | ETL_LIS | INFO: Closed Database Connection
