Jan 25, '22 00:02:22 | ETL_LIS | INFO: Loading F_SALES Table
Jan 25, '22 00:02:22 | ETL_LIS | INFO: Attempting Snowflake Database Connection with user raj**** and account rb239**
Jan 25, '22 00:02:22 | ETL_LIS | INFO: Snowflake Connector for Python Version: 2.7.2, Python Version: 3.8.10, Platform: Linux-5.11.0-46-generic-x86_64-with-glibc2.29
Jan 25, '22 00:02:22 | ETL_LIS | INFO: This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
Jan 25, '22 00:02:22 | ETL_LIS | INFO: Setting use_openssl_only mode to False
Jan 25, '22 00:02:23 | ETL_LIS | INFO: Database Connection Successful
Jan 25, '22 00:02:23 | ETL_LIS | INFO: Created Database Connection Cursor
Jan 25, '22 00:02:23 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TMP_BBSM]
Jan 25, '22 00:02:23 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:23 | ETL_LIS | INFO: Cursor Execution - Used DWH_TMP_BBSM Schema of NAMIT_BHATBHATENI Database to fetch data
Jan 25, '22 00:02:23 | ETL_LIS | INFO: query: [UPDATE NAMIT_BHATBHATENI.DWH_TMP_BBSM.F_SALES_TMP sale SET sale.STORE_ID = str.S...]
Jan 25, '22 00:02:24 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:24 | ETL_LIS | INFO: Cursor Execution - Changed Store_id business key to point surrogate key as foreign key
Jan 25, '22 00:02:24 | ETL_LIS | INFO: query: [UPDATE NAMIT_BHATBHATENI.DWH_TMP_BBSM.F_SALES_TMP sale SET sale.PRODUCT_ID = pro...]
Jan 25, '22 00:02:24 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:24 | ETL_LIS | INFO: Cursor Execution - Changed Product_id business key to point surrogate key as foreign key
Jan 25, '22 00:02:24 | ETL_LIS | INFO: query: [UPDATE NAMIT_BHATBHATENI.DWH_TMP_BBSM.F_SALES_TMP sale SET sale.CUSTOMER_ID = cu...]
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:25 | ETL_LIS | INFO: Cursor Execution - Changed Customer_id business key to point surrogate key as foreign key
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query: [SELECT * FROM F_SALES_TMP]
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:25 | ETL_LIS | INFO: Cursor Execution - Fetching all data from F_SALES_TMP Table
Jan 25, '22 00:02:25 | ETL_LIS | INFO: Converted Fetched Data to Pandas Dataframe
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query: [USE NAMIT_BHATBHATENI.DWH_TGT_BBSM]
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:25 | ETL_LIS | INFO: Cursor Execution - Used DWH_TGT_BBSM Schema of NAMIT_BHATBHATENI Database to load data
Jan 25, '22 00:02:25 | ETL_LIS | INFO: query: [create temporary stage /* Python:snowflake.connector.pandas_tools.write_pandas()...]
Jan 25, '22 00:02:26 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:26 | ETL_LIS | INFO: query: [PUT /* Python:snowflake.connector.pandas_tools.write_pandas() */ 'file:///tmp/tm...]
Jan 25, '22 00:02:26 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:28 | ETL_LIS | INFO: query: [COPY INTO "F_SALES" /* Python:snowflake.connector.pandas_tools.write_pandas() */...]
Jan 25, '22 00:02:29 | ETL_LIS | INFO: query execution done
Jan 25, '22 00:02:29 | ETL_LIS | INFO: Loaded all Sales Data to Target Table 'F_SALES'
Jan 25, '22 00:02:29 | ETL_LIS | INFO: closed
Jan 25, '22 00:02:29 | ETL_LIS | INFO: No async queries seem to be running, deleting session
Jan 25, '22 00:02:29 | ETL_LIS | INFO: Closed Database Connection Cursor
Jan 25, '22 00:02:29 | ETL_LIS | INFO: Closed Database Connection
